cruise_id	n_files	lon_min	lon_max	lat_min	lat_max	lon_center	lat_center	total_lines	n_keep	n_review	n_hv_review	n_exclude
KR03-01	13	136.853844	139.967182	15.084524	20.849167	138.4	18.0	3734963.0	13	0	0	0
KR11-E05	13	141.176131	145.209534	35.911171	41.431261	143.2	38.7	9591047.0	13	0	0	0
KY02-09	13	134.050429	137.312324	32.868925	37.908321	135.7	35.4	4643795.0	13	0	0	0
KY09-09	13	89.933772	95.072423	-8.063028	4.965747	92.5	-1.5	8633476.0	0	0	0	13
KY13-10	13	139.47375	146.765435	34.366553	37.441177	143.1	35.9	3664544.0	13	0	0	0
KY09-06	13	136.147692	148.276142	35.738088	41.773961	142.2	38.8	6928097.0	13	0	0	0
KY10-05	13	137.699994	139.426086	21.803701	31.945701	138.6	26.9	4352460.0	13	0	0	0
KR10-05	13	156.809431	157.553104	-5.528168	-0.39535	157.2	-3.0	13740691.0	13	0	0	0
KR13-08	13	142.022854	144.935818	35.8001	39.345746	143.5	37.6	2707018.0	13	0	0	0
KR08-16	13	131.510624	133.978934	30.662422	32.619651	132.7	31.6	15051871.0	13	0	0	0
KR04-04	13	138.636883	140.283908	29.942682	34.361055	139.5	32.2	11536499.0	13	0	0	0
KR03-04	13	124.265392	136.313732	18.616811	26.114402	130.3	22.4	4409347.0	13	0	0	0
KR06-05	13	137.245626	139.383472	27.125513	32.30102	138.3	29.7	10541398.0	13	0	0	0
KY08-E04	13	137.832171	138.683268	29.195681	35.048123	138.3	32.1	4239788.0	13	0	0	0
KY14-05	13	141.246424	145.162262	35.48091	39.155806	143.2	37.3	2317919.0	0	13	0	0
KY07-11	13	136.17892	137.05261	32.943826	33.980957	136.6	33.5	4911275.0	13	0	0	0
KY08-02	13	138.71923	144.250506	25.677791	35.005583	141.5	30.3	5350626.0	13	0	0	0
KY12-16	12	138.937533	146.931215	25.550991	34.740995	142.9	30.1	4000404.0	12	0	0	0
KY05-02	12	137.182208	143.388157	26.863635	27.499894	140.3	27.2	4931357.0	12	0	0	0
KY04-14	12	135.91417	136.78768	33.171911	33.619334	136.4	33.4	7247726.0	12	0	0	0
KY09-03	12	139.963895	149.382119	34.851552	40.886127	144.7	37.9	4409557.0	12	0	0	0
KY12-02	12	135.999144	139.49943	32.608421	34.98393	137.7	33.8	3592234.0	12	0	0	0
KY00-02	12	141.782701	144.57356	36.243399	40.533617	143.2	38.4	4271971.0	12	0	0	0
KY09-E01	12	131.573374	133.56542	30.729787	32.545202	132.6	31.6	8289633.0	12	0	0	0
KY00-09	12	139.118043	144.368685	33.005983	42.632925	141.7	37.8	3189765.0	12	0	0	0
KY02-08	12	142.711345	143.794359	14.335836	21.803106	143.3	18.1	3087728.0	12	0	0	0
KR12-16	12	140.879303	145.094029	35.522831	39.774028	143.0	37.6	6926218.0	12	0	0	0
KR09-06	12	146.390484	149.771394	37.431865	42.046523	148.1	39.7	5049459.0	12	0	0	0
KR07-05	11	141.136113	144.293982	35.713471	40.518304	142.7	38.1	10877958.0	11	0	0	0
KR03-07	11	144.10183	150.592247	36.927024	39.91199	147.3	38.4	3599279.0	11	0	0	0
KR06-03	11	141.977096	151.417322	35.676533	40.61122	146.7	38.1	2785697.0	11	0	0	0
KR10-06	11	137.717151	142.372454	30.836183	34.939657	140.0	32.9	3311650.0	11	0	0	0
MR00-K04	11	139.685287	142.862313	12.363916	40.502715	141.3	26.4	9887128.0	11	0	0	0
KY06-10	11	133.557435	143.054795	29.933706	34.975024	138.3	32.5	2266003.0	11	0	0	0
KY05-01	11	123.814265	128.078051	24.043242	26.219824	125.9	25.1	5428980.0	11	0	0	0
KR13-09	11	141.104708	159.916113	34.841904	41.245385	150.5	38.0	4650462.0	11	0	0	0
KY06-01	11	139.11776	139.587017	34.790422	35.264069	139.4	35.0	6296567.0	11	0	0	0
KR08-04	11	138.492016	141.47136	31.332988	35.48479	140.0	33.4	10113824.0	11	0	0	0
KR02-14	11	141.33932	148.846175	13.982041	22.001683	145.1	18.0	4499656.0	11	0	0	0
KR02-13	11	140.903353	143.965422	9.94585	12.532715	142.4	11.2	2827672.0	11	0	0	0
KY11-03	11	136.274342	139.521995	33.034199	34.993288	137.9	34.0	2182164.0	11	0	0	0
KY03-14	11	134.968222	137.732676	32.077369	33.186356	136.4	32.6	4353628.0	11	0	0	0
KR07-12	11	128.721432	135.077969	31.225733	39.612088	131.9	35.4	7461232.0	11	0	0	0
KR06-01	11	139.208164	142.820887	21.010372	24.785084	141.0	22.9	5845330.0	11	0	0	0
KR13-01	10	141.150322	144.682887	35.874935	38.217269	142.9	37.0	2982071.0	10	0	0	0
KY10-07	10	135.881273	139.206852	32.662701	34.741363	137.5	33.7	3048437.0	10	0	0	0
KY00-08	10	138.820035	140.043944	33.551114	34.735886	139.4	34.1	7990620.0	10	0	0	0
KR11-07	10	140.884005	160.024231	35.141423	41.169649	150.5	38.2	3388836.0	9	0	1	0
KR12-15	10	141.591251	144.445432	36.00991	40.013572	143.0	38.0	5593491.0	8	0	2	0
KR13-07	10	138.06471	143.263006	27.529063	34.759737	140.7	31.1	4671888.0	10	0	0	0
