file_id	input_path	n_cells_in	n_points_in	status	notes
KY12-08_bathymetry_dmo::T20120521.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120521.parquet	40	115490	ok	
KY12-08_bathymetry_dmo::T20120702.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120702.parquet	1278	433730	ok	
KY12-08_bathymetry_dmo::T20120630.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120630.parquet	118	36379	ok	
KY12-08_bathymetry_dmo::20120608.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120608.parquet	343	549113	ok	
KY12-08_bathymetry_dmo::T20120704.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120704.parquet	1112	450878	ok	
KY12-08_bathymetry_dmo::T20120524.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120524.parquet	196	54286	ok	
KY12-08_bathymetry_dmo::T20120706.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120706.parquet	1150	600932	ok	
KY12-08_bathymetry_dmo::T20120705.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120705.parquet	917	550412	ok	
KY12-08_bathymetry_dmo::T20120708.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120708.parquet	24	93851	ok	
KY12-08_bathymetry_dmo::20120614.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120614.parquet	742	452501	ok	
KY12-08_bathymetry_dmo::20120612.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120612.parquet	631	461723	ok	
KY12-08_bathymetry_dmo::20120615.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120615.parquet	89	440382	ok	
KY12-08_bathymetry_dmo::20120619.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120619.parquet	184	110284	ok	
KY12-08_bathymetry_dmo::20120618.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120618.parquet	877	457849	ok	
KY12-08_bathymetry_dmo::T20120520.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120520.parquet	191	342194	ok	
KY12-08_bathymetry_dmo::20120607.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120607.parquet	580	617782	ok	
KY12-08_bathymetry_dmo::20120617.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120617.parquet	789	349273	ok	
KY12-08_bathymetry_dmo::20120606.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120606.parquet	5	174	ok	
