file_id	subzip_id	relative_path	filename	ext	size_bytes	line_count	col_count	is_ascii	has_header	lon_min	lon_max	lat_min	lat_max	depth_min	depth_max	depth_sign	status	notes	first_lines	used_for_points	data_layout	lon_col	lat_col	depth_col	date_col	time_col	sonar_idx_col	cruise_id_guess	date_guess	track_kind
KR17-15C_leg1_bathymetry_dmo::darwin-data-kairei-kr17-15c_leg1-bathymetry_e.pdf	KR17-15C_leg1_bathymetry_dmo	KR17-15C_leg1_bathymetry_dmo/darwin-data-kairei-kr17-15c_leg1-bathymetry_e.pdf	darwin-data-kairei-kr17-15c_leg1-bathymetry_e.pdf	.pdf	613975												non_dat			False	unknown_or_non_bathymetry									
KM21-E03_bathymetry_dmo::terms_conditions_eng.pdf	KM21-E03_bathymetry_dmo	KM21-E03_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KM21-E03_bathymetry_dmo::darwin-data-kaimei-km21-e03-bathymetry_e.pdf	KM21-E03_bathymetry_dmo	KM21-E03_bathymetry_dmo/darwin-data-kaimei-km21-e03-bathymetry_e.pdf	darwin-data-kaimei-km21-e03-bathymetry_e.pdf	.pdf	621291												non_dat			False	unknown_or_non_bathymetry									
KM21-E03_bathymetry_dmo::terms_conditions_jp.pdf	KM21-E03_bathymetry_dmo	KM21-E03_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KM21-E03_bathymetry_dmo::darwin-data-kaimei-km21-e03-bathymetry_j.pdf	KM21-E03_bathymetry_dmo	KM21-E03_bathymetry_dmo/darwin-data-kaimei-km21-e03-bathymetry_j.pdf	darwin-data-kaimei-km21-e03-bathymetry_j.pdf	.pdf	720637												non_dat			False	unknown_or_non_bathymetry									
KR14-09_bathymetry_dmo::terms_conditions_eng.pdf	KR14-09_bathymetry_dmo	KR14-09_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KR14-09_bathymetry_dmo::darwin-data-kairei-kr14-09-bathymetry_e.pdf	KR14-09_bathymetry_dmo	KR14-09_bathymetry_dmo/darwin-data-kairei-kr14-09-bathymetry_e.pdf	darwin-data-kairei-kr14-09-bathymetry_e.pdf	.pdf	619602												non_dat			False	unknown_or_non_bathymetry									
KR14-09_bathymetry_dmo::terms_conditions_jp.pdf	KR14-09_bathymetry_dmo	KR14-09_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KR14-09_bathymetry_dmo::darwin-data-kairei-kr14-09-bathymetry_j.pdf	KR14-09_bathymetry_dmo	KR14-09_bathymetry_dmo/darwin-data-kairei-kr14-09-bathymetry_j.pdf	darwin-data-kairei-kr14-09-bathymetry_j.pdf	.pdf	720488												non_dat			False	unknown_or_non_bathymetry									
KM20-09_bathymetry_dmo::terms_conditions_eng.pdf	KM20-09_bathymetry_dmo	KM20-09_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KM20-09_bathymetry_dmo::darwin-data-kaimei-km20-09-bathymetry_j.pdf	KM20-09_bathymetry_dmo	KM20-09_bathymetry_dmo/darwin-data-kaimei-km20-09-bathymetry_j.pdf	darwin-data-kaimei-km20-09-bathymetry_j.pdf	.pdf	915949												non_dat			False	unknown_or_non_bathymetry									
KM20-09_bathymetry_dmo::terms_conditions_jp.pdf	KM20-09_bathymetry_dmo	KM20-09_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KM20-09_bathymetry_dmo::darwin-data-kaimei-km20-09-bathymetry_e.pdf	KM20-09_bathymetry_dmo	KM20-09_bathymetry_dmo/darwin-data-kaimei-km20-09-bathymetry_e.pdf	darwin-data-kaimei-km20-09-bathymetry_e.pdf	.pdf	810392												non_dat			False	unknown_or_non_bathymetry									
KR15-19_bathymetry_dmo::terms_conditions_eng.pdf	KR15-19_bathymetry_dmo	KR15-19_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KR15-19_bathymetry_dmo::darwin-data-kairei-kr15-19-bathymetry_e.pdf	KR15-19_bathymetry_dmo	KR15-19_bathymetry_dmo/darwin-data-kairei-kr15-19-bathymetry_e.pdf	darwin-data-kairei-kr15-19-bathymetry_e.pdf	.pdf	883438												non_dat			False	unknown_or_non_bathymetry									
KR15-19_bathymetry_dmo::darwin-data-kairei-kr15-19-bathymetry_j.pdf	KR15-19_bathymetry_dmo	KR15-19_bathymetry_dmo/darwin-data-kairei-kr15-19-bathymetry_j.pdf	darwin-data-kairei-kr15-19-bathymetry_j.pdf	.pdf	987222												non_dat			False	unknown_or_non_bathymetry									
KR15-19_bathymetry_dmo::terms_conditions_jp.pdf	KR15-19_bathymetry_dmo	KR15-19_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KR11-05_leg2_bathymetry_dmo::darwin-data-kairei-kr11-05_leg2-bathymetry_e.pdf	KR11-05_leg2_bathymetry_dmo	KR11-05_leg2_bathymetry_dmo/darwin-data-kairei-kr11-05_leg2-bathymetry_e.pdf	darwin-data-kairei-kr11-05_leg2-bathymetry_e.pdf	.pdf	747599												non_dat			False	unknown_or_non_bathymetry									
KR11-05_leg2_bathymetry_dmo::terms_conditions_eng.pdf	KR11-05_leg2_bathymetry_dmo	KR11-05_leg2_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
