file_id	input_path	output_path	rows_read	rows_written	qc_pass_count	qc_fail_count	qc_pass_rate	fail_lon	fail_lat	fail_depth_positive	fail_depth_extreme	fail_elev_negative	fail_nan	fail_zero_depth	status	notes
KY12-08_bathymetry_dmo::T20120519.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120519.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120519.parquet	761296	761296	761296	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120701.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120701.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120701.parquet	413371	413371	413371	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::20120611.dat	derived/points_raw/KY12-08_bathymetry_dmo__20120611.parquet	derived/points_qc/KY12-08_bathymetry_dmo__20120611.parquet	470161	470161	470161	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120703.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120703.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120703.parquet	586223	586223	586223	0	1.0	0	0	0	0	0	0	0	ok	
KY12-08_bathymetry_dmo::T20120522.dat	derived/points_raw/KY12-08_bathymetry_dmo__T20120522.parquet	derived/points_qc/KY12-08_bathymetry_dmo__T20120522.parquet	1163958	1163958	1163958	0	1.0	0	0	0	0	0	0	0	ok	
KR12-13_bathymetry_dmo::20120810.dat	derived/points_raw/KR12-13_bathymetry_dmo__20120810.parquet	derived/points_qc/KR12-13_bathymetry_dmo__20120810.parquet	162014	162014	162014	0	1.0	0	0	0	0	0	0	0	ok	
KR12-13_bathymetry_dmo::20120811.dat	derived/points_raw/KR12-13_bathymetry_dmo__20120811.parquet	derived/points_qc/KR12-13_bathymetry_dmo__20120811.parquet	99816	99816	99816	0	1.0	0	0	0	0	0	0	0	ok	
KR12-13_bathymetry_dmo::T20120813.dat	derived/points_raw/KR12-13_bathymetry_dmo__T20120813.parquet	derived/points_qc/KR12-13_bathymetry_dmo__T20120813.parquet	1183878	1183878	1183878	0	1.0	0	0	0	0	0	0	0	ok	
KR12-13_bathymetry_dmo::20120812.dat	derived/points_raw/KR12-13_bathymetry_dmo__20120812.parquet	derived/points_qc/KR12-13_bathymetry_dmo__20120812.parquet	857307	857307	857307	0	1.0	0	0	0	0	0	0	0	ok	
KS-20-17_bathymetry_dmo::KS-20-17.dat	derived/points_raw/KS-20-17_bathymetry_dmo__KS-20-17.parquet	derived/points_qc/KS-20-17_bathymetry_dmo__KS-20-17.parquet	110189	110189	110189	0	1.0	0	0	0	0	0	0	0	ok	
KS-20-17_bathymetry_dmo::KS-20-17_t.dat	derived/points_raw/KS-20-17_bathymetry_dmo__KS-20-17_t.parquet	derived/points_qc/KS-20-17_bathymetry_dmo__KS-20-17_t.parquet	64819	64819	64819	0	1.0	0	0	0	0	0	0	0	ok	
KR13-15_bathymetry_dmo::KR13-15_bathymetry_dmo/2_OpenCheckData/KR13-15/KR13-15.dat	derived/points_raw/KR13-15_bathymetry_dmo__KR13-15_bathymetry_dmo__2_OpenCheckData__KR13-15__KR13-15.parquet	derived/points_qc/KR13-15_bathymetry_dmo__KR13-15_bathymetry_dmo__2_OpenCheckData__KR13-15__KR13-15.parquet	575735	575735	575735	0	1.0	0	0	0	0	0	0	0	ok	
KR13-15_bathymetry_dmo::KR13-15_bathymetry_dmo/2_OpenCheckData/KR13-15_transit/KR13-15_t.dat	derived/points_raw/KR13-15_bathymetry_dmo__KR13-15_bathymetry_dmo__2_OpenCheckData__KR13-15_transit__KR13-15_t.parquet	derived/points_qc/KR13-15_bathymetry_dmo__KR13-15_bathymetry_dmo__2_OpenCheckData__KR13-15_transit__KR13-15_t.parquet	684129	684129	684129	0	1.0	0	0	0	0	0	0	0	ok	
KR01-07_bathymetry_dmo::20010427.dat	derived/points_raw/KR01-07_bathymetry_dmo__20010427.parquet	derived/points_qc/KR01-07_bathymetry_dmo__20010427.parquet	59738	59738	59738	0	1.0	0	0	0	0	0	0	0	ok	
KR01-07_bathymetry_dmo::20010506.dat	derived/points_raw/KR01-07_bathymetry_dmo__20010506.parquet	derived/points_qc/KR01-07_bathymetry_dmo__20010506.parquet	252848	252848	252848	0	1.0	0	0	0	0	0	0	0	ok	
