ship_code	cruise_id_guess	n_files	n_subzips	lon_min	lon_max	lat_min	lat_max	n_keep	n_exclude
KR	KR03-13	16	1	142.531697	145.505875	12.431007	23.001327	16	0
KR	KR12-18	16	1	134.669743	139.202204	19.094491	34.662677	16	0
KR	KR04-15	15	1	133.620935	144.925767	26.46131	33.765885	15	0
KR	KR06-15	15	1	139.879178	147.811535	12.972859	34.440999	0	0
KR	KR12-01	15	1	125.314843	139.595264	23.793564	35.040386	14	0
KR	KR12-14	15	1	153.130134	159.940786	37.897167	41.223841	15	0
KR	KR01-11	14	1	-179.743075	179.963948	28.46604	42.289445	14	0
KR	KR03-12	14	1	144.446562	145.22211	16.494068	18.507997	14	0
KR	KR04-01	14	1	139.067339	139.870289	32.924701	34.679663	14	0
KR	KR04-08	14	1	141.841079	152.984497	35.070276	39.554849	14	0
KR	KR05-01	14	1	145.531737	157.286216	-4.441516	25.041688	14	0
KR	KR08-09	14	1	136.630483	140.978267	31.858876	33.788347	14	0
KR	KR10-07	14	1	138.406191	141.853445	31.78739	35.182431	14	0
KR	KR12-12	14	1	135.277555	139.137585	32.357223	34.516053	14	0
KR	KR02-16	13	1	138.490465	140.990761	30.261403	32.508831	13	0
KR	KR03-01	13	1	136.853844	139.967182	15.084524	20.849167	13	0
KR	KR03-04	13	2	124.265392	136.313732	18.616811	26.114402	13	0
KR	KR04-04	13	1	138.636883	140.283908	29.942682	34.361055	13	0
KR	KR06-05	13	1	137.245626	139.383472	27.125513	32.30102	13	0
KR	KR08-16	13	1	131.510624	133.978934	30.662422	32.619651	13	0
KR	KR10-05	13	1	156.809431	157.553104	-5.528168	-0.39535	13	0
KR	KR11-E05	13	1	141.176131	145.209534	35.911171	41.431261	13	0
KR	KR13-08	13	1	142.022854	144.935818	35.8001	39.345746	13	0
KR	KR09-06	12	1	146.390484	149.771394	37.431865	42.046523	12	0
KR	KR12-16	12	1	140.879303	145.094029	35.522831	39.774028	12	0
KR	KR02-13	11	1	140.903353	143.965422	9.94585	12.532715	11	0
KR	KR02-14	11	1	141.33932	148.846175	13.982041	22.001683	11	0
KR	KR03-07	11	1	144.10183	150.592247	36.927024	39.91199	11	0
KR	KR06-01	11	1	139.208164	142.820887	21.010372	24.785084	11	0
KR	KR06-03	11	1	141.977096	151.417322	35.676533	40.61122	11	0
KR	KR07-05	11	1	141.136113	144.293982	35.713471	40.518304	11	0
KR	KR07-12	11	1	128.721432	135.077969	31.225733	39.612088	11	0
KR	KR08-04	11	1	138.492016	141.47136	31.332988	35.48479	11	0
KR	KR10-06	11	2	137.717151	142.372454	30.836183	34.939657	11	0
KR	KR13-09	11	1	141.104708	159.916113	34.841904	41.245385	11	0
KR	KR02-06	10	1	132.051849	144.111061	31.765986	42.449119	10	0
KR	KR02-08	10	2	142.691145	160.436316	38.215636	41.545631	10	0
KR	KR05-10	10	1	139.700439	152.956946	34.838437	41.521017	10	0
KR	KR05-17	10	1	142.653477	150.427903	17.259358	20.015223	9	0
KR	KR06-13	10	1	136.920391	142.258365	20.862103	29.990029	10	0
KR	KR09-09	10	1	136.073217	138.248802	37.447701	39.115309	10	0
KR	KR11-07	10	1	140.884005	160.024231	35.141423	41.169649	9	0
KR	KR12-15	10	1	141.591251	144.445432	36.00991	40.013572	8	0
KR	KR13-01	10	1	141.150322	144.682887	35.874935	38.217269	10	0
KR	KR13-07	10	1	138.06471	143.263006	27.529063	34.759737	10	0
KR	KR02-07	9	2	142.138397	145.164585	38.436731	42.659585	9	0
KR	KR02-15	9	1	140.514125	153.926119	33.838438	40.485638	9	0
KR	KR11-02	9	1	139.038307	140.581025	31.829674	35.027515	0	0
KR	KR11-11	9	1	139.650229	143.942718	28.921054	34.882354	0	0
KR	KR12-07	9	1	139.114871	142.754485	34.862137	42.477313	9	0
KR	KR12-08	9	1	140.978727	144.843528	35.846113	42.406354	9	0
KR	KR02-09	8	1	142.402702	145.299107	35.808511	40.119762	8	0
KR	KR05-05	8	1	132.771552	139.659488	25.388396	35.050762	8	0
KR	KR06-16	8	1	147.934861	151.795847	-0.222287	5.267767	8	0
KR	KR08-07	8	1	141.13069	143.372858	26.641677	32.848939	8	0
KR	KR11-E01	8	2	139.182962	141.86596	31.80678	35.078572	8	0
KR	KR12-03	8	1	126.983345	139.653147	26.544318	35.030879	8	0
KR	KR02-12	7	1	134.560338	137.067928	18.62072	25.802995	7	0
KR	KR04-10	7	1	140.495715	143.447329	27.363334	34.297104	7	0
KR	KR05-15	7	1	135.417265	140.29648	-0.414871	3.023531	7	0
KR	KR07-08	7	1	141.899866	160.044548	37.039026	42.073459	7	0
KR	KR09-04	7	1	141.401469	143.082754	27.485877	33.078907	7	0
KR	KR09-05	7	1	135.028457	137.378698	19.244553	32.946308	7	0
KR	KR09-08	7	1	136.060482	136.935377	32.883843	33.913111	7	0
KR	KR11-04	7	2	134.408454	138.369783	32.304969	34.115442	0	0
KR	KR11-06	7	1	135.203183	142.064858	33.275757	35.24152	7	0
KR	KR11-E04	7	1	140.136958	143.987679	34.908561	38.670258	7	0
KR	KR12-11	7	1	134.989124	142.941233	29.101189	34.901318	0	0
KR	KR13-04	7	1	141.255922	144.010796	36.174448	39.177717	7	0
KR	KR04-07	6	1	139.206846	139.530449	34.905998	35.207604	6	0
KR	KR04-09	6	1	138.404487	144.363111	34.117392	40.151611	6	0
